Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
QDA,2,12,3,0.07236842105263158,0.09016393442622951,0.9777826757769451,0.08029197080291972,0.6338585661052187,0.06961263080050303,0.024660944966941146
QDA,2,13,3,0.051643192488262914,0.07236842105263158,0.9817193412567287,0.060273972602739735,0.6478092681464556,0.05205030396389231,0.021714181028993085
QDA,2,14,3,0.018433179723502304,0.05063291139240506,0.9811308392845444,0.02702702702702703,0.6012441477371251,0.022187404831330294,0.023008822147155022
QDA,2,15,3,0.09689922480620156,0.0778816199376947,0.9726600857925474,0.08635578583765112,0.5875841602832226,0.07309208656525411,0.02950962334372524
QDA,2,16,3,0.10153846153846154,0.07894736842105263,0.9723955147808359,0.08882907133243607,0.663679304170819,0.0756506024032642,0.0289700891991327
QDA,2,17,3,0.18005540166204986,0.13569937369519833,0.9695475016084066,0.15476190476190477,0.6815009520549725,0.14101712179336842,0.03167861400137362
QDA,2,18,3,0.11384615384615385,0.11935483870967742,0.9871677569879683,0.11653543307086614,0.7498787944544189,0.11010718188894485,0.014981926598531646
QDA,2,19,3,0.1962025316455696,0.08458390177353342,0.9636841898629814,0.11820781696854145,0.7489448492507067,0.11224387232327744,0.03567540411782259
QDA,2,20,3,0.024054982817869417,0.034653465346534656,0.9776794035414725,0.028397565922920896,0.6417821502726055,0.017778420181137986,0.026670852680032466
QDA,2,21,3,0.041666666666666664,0.09219858156028368,0.9766411378555798,0.05739514348785872,0.5225045052019492,0.05114104791206676,0.02880973413139134
QDA,2,22,3,0.047752808988764044,0.06319702602230483,0.9717130139281099,0.0544,0.6090713241295376,0.040732619671029244,0.031887706120173
QDA,2,23,3,0.03757225433526012,0.050980392156862744,0.976266149337516,0.04326123128119801,0.5532230412605554,0.031901067793733036,0.026162339543125485
QDA,2,24,3,0.042826552462526764,0.07092198581560284,0.9710505900126577,0.05340453938584779,0.5866405993433659,0.04092057925188018,0.028508072283733272
QDA,2,25,3,0.06188925081433225,0.07142857142857142,0.9732740533519832,0.06631762652705062,0.6345588492799435,0.05297076794422893,0.02817228308170848
QDA,2,26,3,0.057926829268292686,0.05322128851540616,0.9751841055538508,0.05547445255474452,0.6886199239563606,0.04296372103539407,0.025934153641601607
QDA,2,27,3,0.03676470588235294,0.046296296296296294,0.9780837313852205,0.04098360655737705,0.7241455400665118,0.03025088676380015,0.024626558125662584
QDA,2,28,3,0.03180212014134275,0.06474820143884892,0.9805853236580326,0.042654028436018954,0.5935944422981209,0.036213819963296055,0.023173183793138968
QDA,3,4,7,0.04076433121019108,0.12698412698412698,0.9549620440659137,0.061716489874638375,0.6409141814900057,0.05262715409671662,0.04238645031128391
QDA,3,5,7,0.039503386004514675,0.1206896551724138,0.9500225937641211,0.05952380952380953,0.5159002778830365,0.04740698489076291,0.04788918064438267
QDA,3,6,7,0.014285714285714285,0.046875,0.9612772720705101,0.021897810218978103,0.5187213644207866,0.009311694210992965,0.03771413167679031
QDA,3,7,7,0.012949640287769784,0.0989010989010989,0.9560489870664988,0.02290076335877863,0.566315896609862,0.02189103853345979,0.04312539478647355
QDA,3,8,7,0.02796420581655481,0.11848341232227488,0.951184527114566,0.04524886877828054,0.5675239740535667,0.038452930826039386,0.04706188391636073
QDA,3,9,7,0.06534090909090909,0.152317880794702,0.9587507897824713,0.09145129224652086,0.6226176848099056,0.08079067596693429,0.03978168160885653
QDA,3,10,7,0.0796221322537112,0.085383502170767,0.9442132971045257,0.08240223463687152,0.630062235047204,0.053705392541312076,0.05281335668567043
QDA,3,11,7,0.0611587982832618,0.1701492537313433,0.9525943590165282,0.08997632202052093,0.644329048881577,0.08115682074255835,0.04377804151522243
QDA,3,12,7,0.058637083993660855,0.15163934426229508,0.9646903240026449,0.08457142857142858,0.6859367477998775,0.07851591208315803,0.03438003195745977
QDA,3,13,7,0.039337474120082816,0.125,0.9681820604380963,0.05984251968503937,0.6763909784536026,0.056642499761023465,0.03083470560713587
QDA,3,14,7,0.015151515151515152,0.08860759493670886,0.9654720566074821,0.02587800369685767,0.5710078730442438,0.02456109505877353,0.03426812135188549
QDA,3,15,7,0.07333333333333333,0.13707165109034267,0.9569486795183214,0.09554831704668837,0.6414828418130487,0.07947139135029303,0.040736871394687506
QDA,3,16,7,0.09771986970684039,0.14354066985645933,0.9628134556574923,0.11627906976744186,0.6938136454241189,0.09988014471378323,0.035168555858266566
QDA,3,17,7,0.10081466395112017,0.20668058455114824,0.9458288655372078,0.13552361396303902,0.6866865616352746,0.11865685977113198,0.049040482416719745
QDA,3,18,7,0.05292792792792793,0.15161290322580645,0.9747472436982478,0.07846410684474123,0.6911749580871074,0.07865809772906929,0.023730576702467393
QDA,3,19,7,0.07757575757575758,0.08731241473396999,0.9438577205449334,0.0821566110397946,0.6901704763603326,0.05340315113102548,0.05076644451074652
QDA,3,20,7,0.011815252416756176,0.054455445544554455,0.9482292637465052,0.01941747572815534,0.6637155353977396,0.0052981898640734985,0.04705409651228725
QDA,3,21,7,0.021421616358325218,0.15602836879432624,0.9385120350109409,0.03767123287671233,0.5938384007813579,0.038229223386066186,0.05406414690758686
QDA,3,22,7,0.030693069306930693,0.11524163568773234,0.9417508256353803,0.04847537138389366,0.6238892105346643,0.03562177256159074,0.052457442011096506
QDA,3,23,7,0.045454545454545456,0.1411764705882353,0.9597556445288314,0.06876790830945559,0.6445141063266621,0.06292089696661865,0.038574474578180536
QDA,3,24,7,0.040235525024533855,0.1453900709219858,0.950226613858152,0.06302843966179861,0.649257397679604,0.05609272232668924,0.045452041310208906
QDA,3,25,7,0.07509881422924901,0.14285714285714285,0.9652312918373464,0.09844559585492227,0.706100000913584,0.08692863718112932,0.03402303547413381
QDA,3,26,7,0.04770017035775128,0.0784313725490196,0.9659404725375882,0.059322033898305086,0.6890095100844149,0.04441156855048378,0.032302726701414375
QDA,3,27,7,0.028875379939209727,0.08796296296296297,0.9608504261496675,0.04347826086956522,0.7482360186849732,0.03342928853881428,0.037267411260337245
QDA,3,28,7,0.021505376344086023,0.10071942446043165,0.9633812292757942,0.03544303797468355,0.5913924883315408,0.03270784058130356,0.03526725005278009
QDA,4,5,6,0.07606263982102908,0.23448275862068965,0.952643470402169,0.11486486486486486,0.6406471832764936,0.11359028587624975,0.04163139488402507
QDA,4,6,6,0.07792207792207792,0.28125,0.9625776621875451,0.12203389830508474,0.7364184815192909,0.13332220781805057,0.03342731656049994
QDA,4,7,6,0.011396011396011397,0.08791208791208792,0.9555339361336843,0.0201765447667087,0.652943415096093,0.017589558844217104,0.03894084766943006
QDA,4,8,6,0.01820250284414107,0.07582938388625593,0.9510457153433278,0.029357798165137613,0.6232433440347276,0.01767307247089083,0.0435009845472528
QDA,4,9,6,0.023668639053254437,0.052980132450331126,0.9573066161205885,0.03271983640081799,0.6414841000213317,0.015359568383703306,0.038948352715200356
QDA,4,10,6,0.05750350631136045,0.059334298118668596,0.9438736520336248,0.05840455840455841,0.5964329590976466,0.029490466963428386,0.05102766101306522
QDA,4,11,6,0.053003533568904596,0.13432835820895522,0.955020146369542,0.07601351351351351,0.5957454566497151,0.06401425770567153,0.0405542245622209
QDA,4,12,6,0.0451505016722408,0.11065573770491803,0.9652633899052238,0.06413301662707839,0.6516238208606759,0.054864817328297316,0.03271050782004222
QDA,4,13,6,0.03205128205128205,0.09868421052631579,0.9685551351063263,0.04838709677419355,0.5657935389087947,0.04273287145105152,0.030199331639347772
QDA,4,14,6,0.009070294784580499,0.05063291139240506,0.9664548253947455,0.015384615384615385,0.6285847194248444,0.00936132633812564,0.031757834906637666
QDA,4,15,6,0.05850091407678245,0.09968847352024922,0.9584474649852706,0.07373271889400922,0.6483450032973215,0.05596650162719043,0.037585680546985224
QDA,4,16,6,0.11777301927194861,0.13157894736842105,0.9683995922528033,0.12429378531073446,0.6204935511792223,0.10842596536661547,0.03041818567665406
QDA,4,17,6,0.07166123778501629,0.0918580375782881,0.9568947029809136,0.08051235132662397,0.6037914990468479,0.059262593198560566,0.03951811601953331
QDA,4,18,6,0.06375838926174497,0.12258064516129032,0.9810146850267625,0.0838852097130243,0.6264228089366609,0.07939665354707032,0.018877396828623275
QDA,4,19,6,0.04038461538461539,0.0286493860845839,0.9524557339719681,0.033519553072625705,0.6567900354239028,0.010022625946306277,0.04355863953938663
QDA,4,20,6,0.016697588126159554,0.04455445544554455,0.966309412861137,0.0242914979757085,0.4596528132914901,0.012109027756555259,0.03262123910261785
QDA,4,21,6,0.027243589743589744,0.12056737588652482,0.9600109409190372,0.044444444444444446,0.6146854921353972,0.041967560015729544,0.036708308923155734
QDA,4,22,6,0.04854368932038835,0.11152416356877323,0.960417364667592,0.06764374295377677,0.6129478667074271,0.055237961328257396,0.03729311227168031
QDA,4,23,6,0.04936014625228519,0.10588235294117647,0.96912535600776,0.06733167082294264,0.6328151634423167,0.05783625674707588,0.029889337727408385
QDA,4,24,6,0.04631217838765009,0.09574468085106383,0.9668857947817565,0.062427745664739895,0.6347478913679896,0.05093394182335171,0.03149037661643383
QDA,4,25,6,0.0536480686695279,0.09398496240601503,0.9659306624038365,0.06830601092896176,0.6705467343936999,0.054415565903836616,0.031642829924560405
QDA,4,26,6,0.04844961240310078,0.0700280112044818,0.9684335685793188,0.0572737686139748,0.6517811324413101,0.04249762834290216,0.029003647100775517
QDA,4,27,6,0.022727272727272728,0.06018518518518518,0.9643158190502951,0.03299492385786802,0.5604477893069529,0.020910344872383264,0.03193772330111247
QDA,4,28,6,0.015544041450777202,0.06474820143884892,0.9663607093084723,0.025069637883008353,0.5971357021784605,0.018410110321790442,0.03144406913449265
QDA,5,6,4,0.12771084337349398,0.2760416666666667,0.9758705389394596,0.1746293245469522,0.7443555500866916,0.1767502303615875,0.02426450298674897
QDA,5,7,4,0.011876484560570071,0.054945054945054944,0.9712716035252374,0.01953125,0.6943047173157051,0.014557747630082003,0.02838931916399004
QDA,5,8,4,0.023508137432188065,0.061611374407582936,0.9658523042754026,0.034031413612565446,0.6901820152355904,0.02265303986803493,0.033035696097527455
QDA,5,9,4,0.03435114503816794,0.059602649006622516,0.9643469627222674,0.043583535108958835,0.7002970375631465,0.027814133454061554,0.03383292044890405
QDA,5,10,4,0.10133843212237094,0.07670043415340087,0.9529591576802242,0.08731466227347612,0.5874284964116151,0.06429771914719022,0.045229417660284155
QDA,5,11,4,0.08206106870229007,0.12835820895522387,0.9682180741715319,0.10011641443538999,0.6475623923157383,0.08694122056484717,0.030576790741060542
QDA,5,12,4,0.04966139954853273,0.09016393442622951,0.9716552788186026,0.06404657933042213,0.697606510624216,0.05322890391919165,0.02704080617131426
QDA,5,13,4,0.03951367781155015,0.08552631578947369,0.9757501465650482,0.05405405405405406,0.7337977822962649,0.04681532653724562,0.02389803079003042
QDA,5,14,4,0.013245033112582781,0.05063291139240506,0.9755618161567189,0.02099737532808399,0.6374873284336611,0.01597653005006738,0.02469144682751278
QDA,5,15,4,0.05699481865284974,0.06853582554517133,0.9657346632900925,0.06223479490806224,0.6481559885186414,0.04513180247575688,0.03269000478379743
QDA,5,16,4,0.1178082191780822,0.10287081339712918,0.9715800203873598,0.10983397190293742,0.6732635183292669,0.09568730497805947,0.026949368692238476
QDA,5,17,4,0.12285012285012285,0.10438413361169102,0.966287797555222,0.1128668171557562,0.7358028253378635,0.09613020310114641,0.031772283625703696
QDA,5,18,4,0.08793969849246232,0.11290322580645161,0.985406468731415,0.09887005649717515,0.7400200498198638,0.09235606669327207,0.014418329462895098
QDA,5,19,4,0.03888888888888889,0.019099590723055934,0.9581877429233245,0.025617566331198535,0.7182992357450417,0.0072414874793466895,0.03841976264546391
QDA,5,20,4,0.01837270341207349,0.034653465346534656,0.9734855545200373,0.024013722126929673,0.5883180612726809,0.01247471642609819,0.026467345554707544
QDA,5,21,4,0.03275109170305677,0.10638297872340426,0.9688730853391685,0.05008347245409015,0.6008373478406897,0.04587854908915956,0.030843220977916978
QDA,5,22,4,0.04175365344467641,0.07434944237918216,0.9661130522184463,0.053475935828877004,0.6089100906728653,0.039238912760424544,0.032833683594397596
QDA,5,23,4,0.036036036036036036,0.06274509803921569,0.9724687332315185,0.045779685264663805,0.5933808397378642,0.03415514012148911,0.02610429729757358
QDA,5,24,4,0.045454545454545456,0.07092198581560284,0.9721530358090728,0.055401662049861494,0.6579561730310133,0.04302952716154289,0.027222655792194912
QDA,5,25,4,0.04935064935064935,0.07142857142857142,0.9693775601958238,0.05837173579109063,0.7175959339417803,0.04410303711583407,0.02931505523917475
QDA,5,26,4,0.043478260869565216,0.05042016806722689,0.9718088370665848,0.04669260700389105,0.7835294880153111,0.032556621630405826,0.026180441749850666
QDA,5,27,4,0.03133903133903134,0.05092592592592592,0.9744778495832163,0.03880070546737214,0.6730310385368811,0.027419344960958235,0.024673534740811385
QDA,5,28,4,0.0225,0.06474820143884892,0.9749627564995915,0.03339517625231911,0.6597894978646981,0.027189712723497184,0.02442368611262824
QDA,6,7,5,0.009259259259259259,0.07692307692307693,0.9523291747739498,0.01652892561983471,0.7242879079155901,0.01197005688379457,0.04523927600452569
