Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LR,12,23,12,0.08108108108108109,0.011764705882352941,0.9881949890617906,0.02054794520547945,0.6362969215718992,0.02703908822111659,0.018705958277120273
LR,12,24,12,0.1,0.010638297872340425,0.9875056143072966,0.01923076923076923,0.6310755275644806,0.029046211563709276,0.019563759998162563
LR,12,25,12,0.05714285714285714,0.007518796992481203,0.9851633529823159,0.013289036544850499,0.664775166957491,0.016028589371777795,0.020894373330294664
LR,12,26,12,0.08823529411764706,0.008403361344537815,0.9852332003682112,0.015345268542199489,0.7044413798963101,0.023178549114923078,0.020667824710723644
LR,12,27,12,0.16666666666666666,0.013888888888888888,0.9893228434953638,0.02564102564102564,0.6100442681777245,0.04544198619762408,0.018323212414313842
LR,12,28,12,0.11538461538461539,0.02158273381294964,0.9923590754000673,0.03636363636363636,0.6511652796775642,0.04720140235420166,0.015656477203757395
LR,13,14,12,0.0,0.0,0.9947585664679289,0.0,0.6475428832481893,-0.0005838680671245148,0.017851383573854122
LR,13,15,12,0.2222222222222222,0.006230529595015576,0.9831515840611917,0.012121212121212121,0.6273190124145627,0.03472910696965532,0.026344074169917797
LR,13,16,12,0.08333333333333333,0.0023923444976076554,0.9825484199796126,0.004651162790697674,0.6123890338985103,0.011331474564343916,0.02666811739611752
LR,13,17,12,0.0,0.0,0.9792408320823505,0.0,0.6611327900019418,-0.002121151092197195,0.02961448875696085
LR,13,18,12,0.0,0.0,0.9927261082391692,0.0,0.6846333142099568,-0.0011432745842865635,0.018732346973320903
LR,13,19,12,0.0,0.0,0.9708688312198186,0.0,0.674640243393327,-0.00323626959144848,0.03577234466430385
LR,13,20,12,0.0,0.0,0.9904939422180802,0.0,0.5033205903147471,-0.0009410980222192546,0.02143248866695087
LR,13,21,12,0.0,0.0,0.9921772428884026,0.0,0.63970857042093,-0.000922260370170685,0.02010312714510568
LR,13,22,12,0.0,0.0,0.9863590676303068,0.0,0.5958466658110809,-0.0031616634286098324,0.024293336378726688
LR,13,23,12,0.08333333333333333,0.00392156862745098,0.9890617905642465,0.00749063670411985,0.6181543500096518,0.015881964661769363,0.022043146400494904
LR,13,24,12,0.1,0.0035460992907801418,0.9881589155199869,0.00684931506849315,0.6203868410698911,0.016762986521380866,0.022790309468138665
LR,13,25,12,0.0,0.0,0.9862124088320512,0.0,0.6750164445134708,-0.0025943791205287267,0.02394547421015447
LR,13,26,12,0.1,0.0028011204481792717,0.9860003068425898,0.005449591280653951,0.7322292790341881,0.014547550643146138,0.023988033333084576
LR,13,27,12,0.0,0.0,0.9896506509319097,0.0,0.5866473141227139,-0.00154700302297946,0.021641428290544575
LR,13,28,12,0.0,0.0,0.9933201979912538,0.0,0.6654850285229001,0.0,0.018980750680547404
LR,14,15,6,0.07894736842105263,0.009345794392523364,0.9817561631092047,0.01671309192200557,0.646572488354594,0.021656416736945527,0.022675921321890606
LR,14,16,6,0.11267605633802817,0.019138755980861243,0.9807135575942916,0.03271983640081799,0.6734099944763805,0.03981142887712165,0.023012558991310033
LR,14,17,6,0.04,0.0041753653444676405,0.9774823075273429,0.007561436672967862,0.6642772500366597,0.006358120372284717,0.026370993937626395
LR,14,18,6,0.05,0.00967741935483871,0.9916739100599296,0.016216216216216217,0.6974485898243821,0.018957787687657532,0.014076983340698825
LR,14,19,6,0.045454545454545456,0.004092769440654843,0.9688665541203721,0.007509386733416771,0.5994706378232691,0.005084341500061959,0.03345475444435184
LR,14,20,6,0.16666666666666666,0.034653465346534656,0.98928238583411,0.05737704918032788,0.5756939262935608,0.07211559378707649,0.01698415216929864
LR,14,21,6,0.13333333333333333,0.028368794326241134,0.9910831509846827,0.04678362573099415,0.6464566962999282,0.058216741869851506,0.015316604958662355
LR,14,22,6,0.030303030303030304,0.0037174721189591076,0.9856411238213756,0.006622516556291391,0.5755212464058187,0.006148698636370794,0.020285408594295135
