Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
GBDT,2,26,5,0.1898238747553816,0.27170868347338933,0.9741485118134398,0.2235023041474654,0.830631502066119,0.21429121412602867,0.02389443785785761
GBDT,2,27,5,0.3152454780361757,0.5648148148148148,0.9831881614685773,0.4046434494195688,0.8951646674586404,0.4142791289346454,0.015941710059668476
GBDT,2,28,5,0.14381270903010032,0.30935251798561153,0.9830842423951175,0.19634703196347034,0.7978387681726897,0.2032675339242055,0.018732121013154128
GBDT,3,4,12,0.4222222222222222,0.2261904761904762,0.9873634512127384,0.29457364341085274,0.9109416723164849,0.3032143928531333,0.011565005865622516
GBDT,3,5,12,0.31958762886597936,0.10689655172413794,0.9853140533212833,0.16020671834625322,0.8501604932423898,0.17881826882434795,0.013632568947601212
GBDT,3,6,12,0.3655913978494624,0.17708333333333334,0.9895487164667919,0.2385964912280702,0.8676845083288771,0.24971963565567995,0.009808773920013546
GBDT,3,7,12,0.36507936507936506,0.25274725274725274,0.9938193888062264,0.2987012987012987,0.8929296843638441,0.3007566892966578,0.006598932629250868
GBDT,3,8,12,0.39090909090909093,0.2037914691943128,0.9891264112530076,0.2679127725856698,0.8505260971328132,0.27725856663713194,0.01144465434413668
GBDT,3,9,12,0.42276422764227645,0.17218543046357615,0.9855131329542377,0.24470588235294116,0.8855031246060912,0.2636357100256335,0.01399819330045808
GBDT,3,10,12,0.7747440273037542,0.32850940665701883,0.9774985140528148,0.46138211382113814,0.9352154116513431,0.49576085552688715,0.020168234509591137
GBDT,3,11,12,0.4702702702702703,0.25970149253731345,0.9857741962009703,0.33461538461538465,0.921262138882442,0.3429026210710631,0.013741848789474934
GBDT,3,12,12,0.37037037037037035,0.16393442622950818,0.9880096980383514,0.22727272727272727,0.9062056898197899,0.24112295613486315,0.012096324551961017
GBDT,3,13,12,0.18518518518518517,0.06578947368421052,0.9900868731013164,0.0970873786407767,0.8974380954670271,0.10613212930424969,0.009313641562261792
GBDT,3,14,12,0.2830188679245283,0.189873417721519,0.9933171722466094,0.2272727272727273,0.9241448360032547,0.2285630242812615,0.006804562780954296
GBDT,3,15,12,0.4117647058823529,0.1308411214953271,0.9824797147139387,0.1985815602836879,0.9086019815363096,0.22522527889914856,0.01539150560234241
GBDT,3,16,12,0.631336405529954,0.3277511961722488,0.9852803261977574,0.43149606299212595,0.9182532600370399,0.44841466636470123,0.01401641158149199
GBDT,3,17,12,0.6363636363636364,0.2776617954070981,0.9819000643362642,0.3866279069767442,0.892699729504489,0.41287770695935044,0.017381802144525397
GBDT,3,18,12,0.44029850746268656,0.19032258064516128,0.9925431172514754,0.26576576576576577,0.931129463277172,0.2862724010919642,0.007509658400296867
GBDT,3,19,12,0.6180904522613065,0.16780354706684858,0.9730674099956813,0.26394849785407726,0.8941358093115992,0.31279816308719116,0.02362620786987686
GBDT,3,20,12,0.5925925925925926,0.5544554455445545,0.9922180801491146,0.5728900255754475,0.9195076472084126,0.5692882254315618,0.00903417198209309
GBDT,3,21,12,0.12903225806451613,0.11347517730496454,0.9872538293216631,0.12075471698113208,0.8657320791883325,0.11460121457518133,0.01168758799313405
GBDT,3,22,12,0.3111111111111111,0.26022304832713755,0.9830565261092232,0.28340080971659926,0.8830941177997411,0.2760198347866507,0.014806465956426726
GBDT,3,23,12,0.22666666666666666,0.13333333333333333,0.9860898996986833,0.16790123456790124,0.875038770722706,0.16717042859836617,0.013243403917646083
GBDT,3,24,12,0.11326860841423948,0.12411347517730496,0.9787268792617696,0.11844331641285956,0.8559474979851874,0.10781493011929483,0.01672069738508684
GBDT,3,25,12,0.1888111888111888,0.10150375939849623,0.9822659606354281,0.13202933985330073,0.8827634662293644,0.13002389680783205,0.015153907707914475
GBDT,3,26,12,0.17063492063492064,0.12044817927170869,0.9799401656949984,0.1412151067323481,0.8766101813075998,0.13341618045248696,0.017095496391663842
GBDT,3,27,12,0.3977272727272727,0.4861111111111111,0.9873559988760888,0.4375,0.9343186353872085,0.4333924924697192,0.01039561388137422
GBDT,3,28,12,0.06896551724137931,0.11510791366906475,0.9837089720793887,0.08625336927223719,0.8824675528082613,0.08119232749744201,0.013135670386012592
GBDT,4,5,12,0.32684824902723736,0.2896551724137931,0.9828739267962042,0.3071297989031079,0.8243187918403436,0.29904994482017183,0.0159365119361468
GBDT,4,6,12,0.34065934065934067,0.3229166666666667,0.9879593507681934,0.3315508021390375,0.8931719461458688,0.32559867937533366,0.011820939079993917
