Dataset,Model1,Model2,Period,Topn,Overlap
Google,LDA,GBDT,14,5,1
Google,LDA,GBDT,15,1,0
Google,LDA,GBDT,15,3,0.25
Google,LDA,GBDT,15,5,0.916666666666667
Google,LDA,GBDT,16,1,0
Google,LDA,GBDT,16,3,0.5
Google,LDA,GBDT,16,5,1
Google,LDA,GBDT,17,1,0
Google,LDA,GBDT,17,3,0.333333333333333
Google,LDA,GBDT,17,5,0.583333333333333
Google,LDA,GBDT,18,1,1
Google,LDA,GBDT,18,3,0.5
Google,LDA,GBDT,18,5,0.583333333333333
Google,LDA,GBDT,19,1,0
Google,LDA,GBDT,19,3,0.333333333333333
Google,LDA,GBDT,19,5,0.666666666666667
Google,LDA,GBDT,20,1,0
Google,LDA,GBDT,20,3,0.25
Google,LDA,GBDT,20,5,0.75
Google,LDA,GBDT,21,1,1
Google,LDA,GBDT,21,3,0.666666666666667
Google,LDA,GBDT,21,5,1
Google,LDA,GBDT,22,1,0
Google,LDA,GBDT,22,3,0.333333333333333
Google,LDA,GBDT,22,5,1
Google,LDA,GBDT,23,1,0
Google,LDA,GBDT,23,3,0.416666666666667
Google,LDA,GBDT,23,5,1
Google,LDA,GBDT,24,1,0
Google,LDA,GBDT,24,3,0.428571428571429
Google,LDA,GBDT,24,5,1
Google,LDA,GBDT,25,1,0
Google,LDA,GBDT,25,3,0.3
Google,LDA,GBDT,25,5,0.666666666666667
Google,LDA,GBDT,26,1,1
Google,LDA,GBDT,26,3,0.125
Google,LDA,GBDT,26,5,0.666666666666667
Google,LDA,GBDT,27,1,0
Google,LDA,GBDT,27,3,0.416666666666667
Google,LDA,GBDT,27,5,1
Google,LDA,GBDT,28,1,0
Google,LDA,GBDT,28,3,0.416666666666667
Google,LDA,GBDT,28,5,1
Google,LDA,NN,1,1,1
Google,LDA,NN,1,3,0.833333333333333
Google,LDA,NN,1,5,1
Google,LDA,NN,2,1,0
Google,LDA,NN,2,3,0.555555555555556
Google,LDA,NN,2,5,1
Google,LDA,NN,3,1,1
Google,LDA,NN,3,3,0.5
Google,LDA,NN,3,5,1
Google,LDA,NN,4,1,0.333333333333333
Google,LDA,NN,4,3,0.25
Google,LDA,NN,4,5,1
Google,LDA,NN,5,1,0
Google,LDA,NN,5,3,0.625
Google,LDA,NN,5,5,1
Google,LDA,NN,6,1,0.166666666666667
Google,LDA,NN,6,3,0.416666666666667
Google,LDA,NN,6,5,1
Google,LDA,NN,7,1,0.714285714285714
Google,LDA,NN,7,3,1
Google,LDA,NN,7,5,1
Google,LDA,NN,8,1,0
Google,LDA,NN,8,3,0.583333333333333
